year,state,state_po,state_fips,state_cen,state_ic,candidate,party,writein,candidatevotes,totalvotes
1976,Alabama,AL,1,63,41,"Carter, Jimmy",democrat,FALSE,659170,1182850
1976,Alabama,AL,1,63,41,"Ford, Gerald",republican,FALSE,504070,1182850
1976,Alabama,AL,1,63,41,"Maddox, Lester",american independent party,FALSE,9198,1182850
1976,Alabama,AL,1,63,41,"Bubar, Benjamin """"Ben""""",prohibition,FALSE,6669,1182850
1976,Alabama,AL,1,63,41,"Hall, Gus",communist party use,FALSE,1954,1182850
1976,Alabama,AL,1,63,41,"Macbride, Roger",libertarian,FALSE,1481,1182850
1976,Alabama,AL,1,63,41,,,TRUE,308,1182850
1976,Alaska,AK,2,94,81,"Ford, Gerald",republican,FALSE,71555,123574
1976,Alaska,AK,2,94,81,"Carter, Jimmy",democrat,FALSE,44058,123574
1976,Alaska,AK,2,94,81,"Macbride, Roger",libertarian,FALSE,6785,123574
1976,Alaska,AK,2,94,81,,,TRUE,1176,123574
1976,Arizona,AZ,4,86,61,"Ford, Gerald",republican,FALSE,418642,742719
1976,Arizona,AZ,4,86,61,"Carter, Jimmy",democrat,FALSE,295602,742719
1976,Arizona,AZ,4,86,61,"McCarthy, Eugene """"Gene""""",independent,FALSE,19229,742719
1976,Arizona,AZ,4,86,61,"Macbride, Roger",libertarian,FALSE,7647,742719
1976,Arizona,AZ,4,86,61,"Camejo, Peter",socialist workers,FALSE,928,742719
1976,Arizona,AZ,4,86,61,"Anderson, Thomas J.",american,FALSE,564,742719
1976,Arizona,AZ,4,86,61,"Maddox, Lester",american independent party,FALSE,85,742719
1976,Arizona,AZ,4,86,61,,,TRUE,22,742719
1976,Arkansas,AR,5,71,42,"Carter, Jimmy",democrat,FALSE,498604,767535
1976,Arkansas,AR,5,71,42,"Ford, Gerald",republican,FALSE,267903,767535
1976,Arkansas,AR,5,71,42,,independent,FALSE,639,767535
1976,Arkansas,AR,5,71,42,"Maddox, Lester",american independent party,FALSE,389,767535
1976,California,CA,6,93,71,"Ford, Gerald",republican,FALSE,3882244,7803770
1976,California,CA,6,93,71,"Carter, Jimmy",democrat,FALSE,3742284,7803770
1976,California,CA,6,93,71,"Macbride, Roger",independent,FALSE,56388,7803770
1976,California,CA,6,93,71,"Maddox, Lester",american independent party,FALSE,51098,7803770
1976,California,CA,6,93,71,"Wright, Margaret",peace & freedom,FALSE,41731,7803770
1976,California,CA,6,93,71,"Camejo, Peter",independent,FALSE,17259,7803770
1976,California,CA,6,93,71,"Hall, Gus",independent,FALSE,12766,7803770
1976,Colorado,CO,8,84,62,"Ford, Gerald",republican,FALSE,584278,1081440
1976,Colorado,CO,8,84,62,"Carter, Jimmy",democrat,FALSE,460801,1081440
1976,Colorado,CO,8,84,62,"McCarthy, Eugene """"Gene""""",independent,FALSE,26047,1081440
1976,Colorado,CO,8,84,62,"Macbride, Roger",libertarian,FALSE,5338,1081440
1976,Colorado,CO,8,84,62,"Bubar, Benjamin """"Ben""""",prohibition,FALSE,2886,1081440
1976,Colorado,CO,8,84,62,"Camejo, Peter",socialist workers,FALSE,1122,1081440
