state,county,party,candidate,votes
AZ,Apache,,Robert L. Buchanan,0
AZ,Cochise,,Robert L. Buchanan,0
AZ,Coconino,,Robert L. Buchanan,0
AZ,Gila,,Robert L. Buchanan,4
AZ,Graham,,Robert L. Buchanan,0
AZ,Greenlee,,Robert L. Buchanan,0
AZ,La Paz,,Robert L. Buchanan,0
AZ,Maricopa,,Robert L. Buchanan,42
AZ,Mohave,,Robert L. Buchanan,0
AZ,Navajo,,Robert L. Buchanan,1
AZ,Pima,,Robert L. Buchanan,6
AZ,Pinal,,Robert L. Buchanan,0
AZ,Santa Cruz,,Robert L. Buchanan,0
AZ,Yavapai,,Robert L. Buchanan,1
AZ,Yuma,,Robert L. Buchanan,2
AZ,Total,,Robert L. Buchanan,56
AZ,Apache,,Willie Felix Carter,6
AZ,Cochise,,Willie Felix Carter,0
AZ,Coconino,,Willie Felix Carter,1
AZ,Gila,,Willie Felix Carter,0
AZ,Graham,,Willie Felix Carter,0
AZ,Greenlee,,Willie Felix Carter,0
AZ,La Paz,,Willie Felix Carter,0
AZ,Maricopa,,Willie Felix Carter,28
AZ,Mohave,,Willie Felix Carter,0
AZ,Navajo,,Willie Felix Carter,1
AZ,Pima,,Willie Felix Carter,5
AZ,Pinal,,Willie Felix Carter,1
AZ,Santa Cruz,,Willie Felix Carter,0
AZ,Yavapai,,Willie Felix Carter,0
AZ,Yuma,,Willie Felix Carter,0
AZ,Total,,Willie Felix Carter,42
AZ,Apache,,Darrell Castle,34
AZ,Cochise,,Darrell Castle,37
AZ,Coconino,,Darrell Castle,13
AZ,Gila,,Darrell Castle,4
AZ,Graham,,Darrell Castle,14
AZ,Greenlee,,Darrell Castle,1
AZ,La Paz,,Darrell Castle,2
AZ,Maricopa,,Darrell Castle,616
AZ,Mohave,,Darrell Castle,24
AZ,Navajo,,Darrell Castle,24
AZ,Pima,,Darrell Castle,141
AZ,Pinal,,Darrell Castle,75
AZ,Santa Cruz,,Darrell Castle,4
AZ,Yavapai,,Darrell Castle,44
AZ,Yuma,,Darrell Castle,25
AZ,Total,,Darrell Castle,1058
AZ,Apache,DEM,Hillary Clinton,17083
AZ,Cochise,DEM,Hillary Clinton,17450
AZ,Coconino,DEM,Hillary Clinton,32404
AZ,Gila,DEM,Hillary Clinton,7003
AZ,Graham,DEM,Hillary Clinton,3301
AZ,Greenlee,DEM,Hillary Clinton,1092
AZ,La Paz,DEM,Hillary Clinton,1575
AZ,Maricopa,DEM,Hillary Clinton,702907
AZ,Mohave,DEM,Hillary Clinton,17455
AZ,Navajo,DEM,Hillary Clinton,16459
AZ,Pima,DEM,Hillary Clinton,224661
AZ,Pinal,DEM,Hillary Clinton,47892
AZ,Santa Cruz,DEM,Hillary Clinton,11690
AZ,Yavapai,DEM,Hillary Clinton,35590
AZ,Yuma,DEM,Hillary Clinton,24605
AZ,Total,DEM,Hillary Clinton,1161167
AZ,Apache,,Michael Corsetti,0
