Poll,Date,Sample,Biden ,Sanders ,Warren ,Bloomberg ,Buttigieg ,Yang ,Klobuchar ,Steyer ,Gabbard ,Bennet ,Patrick ,Spread,Year
Morning Consult,1/27 - 2/2,15259 RV,28,24,14,14,6,4,3,3,2,1,1,Biden +4,2020
NBC News/Wall St. Jrnl,1/26 - 1/29,428 LV,26,27,15,9,7,4,5,2,2,0,1,Sanders +1,2020
Economist/YouGov,1/26 - 1/28,591 RV,26,24,20,4,7,4,4,1,3,0,1,Biden +2,2020
IBD/TIPP,1/23 - 1/30,336 RV,26,19,13,8,7,4,3,2,1,1,0,Biden +7,2020
Quinnipiac,1/22 - 1/27,827 RV,26,21,15,8,6,3,7,2,1,0,0,Biden +5,2020
Morning Consult,1/20 - 1/26,17836 RV,29,23,14,12,7,5,3,3,1,1,0,Biden +6,2020
Emerson,1/21 - 1/23,497 LV,30,27,13,7,6,8,4,1,1,1,0,Biden +3,2020
LA Times/USC,1/15 - 1/28,2227 LV,34,18,16,9,9,2,3,2,1,--,--,Biden +16,2020
ABC News/Wash Post,1/20 - 1/23,LV,34,22,14,7,4,6,4,1,0,2,1,Biden +12,2020
The Hill/HarrisX,1/20 - 1/22,878 RV,29,17,9,11,5,4,2,4,2,--,1,Biden +12,2020
FOX News,1/19 - 1/22,495 LV,26,23,14,10,7,5,3,3,0,0,1,Biden +3,2020
Economist/YouGov,1/19 - 1/21,470 LV,28,18,21,6,8,3,4,2,3,0,0,Biden +7,2020
Monmouth,1/16 - 1/20,372 RV,30,23,14,9,6,3,5,1,1,1,0,Biden +7,2020
CNN,1/16 - 1/19,500 RV,24,27,14,5,11,4,4,2,0,0,0,Sanders +3,2020
Morning Consult,1/15 - 1/19,12402 LV,29,24,15,10,8,4,3,3,2,1,0,Biden +5,2020
SurveyUSA,1/14 - 1/16,1086 LV,32,21,14,9,9,4,2,3,2,--,--,Biden +11,2020
The Hill/HarrisX,1/13 - 1/14,451 RV,29,19,11,7,4,2,3,3,1,2,0,Biden +10,2020
Economist/YouGov,1/11 - 1/14,521 RV,27,20,19,5,7,3,3,1,2,0,0,Biden +7,2020
Quinnipiac,1/8 - 1/12,651 RV,25,19,16,6,8,5,4,1,1,1,1,Biden +6,2020
Politico/Morning Consult,1/6 - 1/12,17096 RV,29,23,14,8,8,5,3,4,2,1,0,Biden +6,2020
IBD/TIPP,1/3 - 1/11,333 RV,26,15,20,7,9,3,3,2,1,0,0,Biden +6,2020
Economist/YouGov,1/5 - 1/7,574 RV,27,20,22,3,7,3,3,2,3,0,0,Biden +5,2020
Morning Consult,12/30 - 1/5,17213 RV,31,23,14,7,8,4,3,4,2,1,0,Biden +8,2019
Harvard-Harris,12/27 - 12/29,756 RV,30,17,12,7,7,3,2,2,1,--,--,Biden +13,2019
Economist/YouGov,12/28 - 12/31,548 RV,29,19,18,3,8,3,4,2,3,0,0,Biden +10,2019
The Hill/HarrisX,12/27 - 12/28,431 RV,28,16,11,11,6,2,2,2,2,0,0,Biden +12,2019
Politico/Morning Consult,12/23 - 12/29,17787 RV,32,21,14,6,8,4,3,3,1,1,0,Biden +11,2019
Economist/YouGov,12/22 - 12/24,586 LV,30,17,19,4,7,3,5,1,2,0,0,Biden +11,2019
Politico/Morning Consult,12/20 - 12/22,7178 RV,31,21,15,6,9,5,3,3,2,1,0,Biden +10,2019
Emerson,12/15 - 12/17,525 RV,32,25,12,3,8,6,2,2,4,0,0,Biden +7,2019
NBC News/Wall St. Jrnl,12/14 - 12/17,410 LV,28,21,18,4,9,3,5,1,2,0,0,Biden +7,2019
Economist/YouGov,12/14 - 12/17,555 LV,29,19,17,4,7,3,4,2,3,1,0,Biden +10,2019
CNN,12/12 - 12/15,408 RV,26,20,16,5,8,3,3,1,1,0,0,Biden +6,2019
The Hill/HarrisX,12/13 - 12/14,456 RV,29,13,13,5,5,3,3,3,1,1,2,Biden +16,2019
Quinnipiac,12/11 - 12/15,567 RV,30,16,17,7,9,3,3,1,1,0,0,Biden +13,2019
USA Today/Suffolk,12/10 - 12/14,384 LV,23,14,13,6,8,2,3,1,1,0,--,Biden +9,2019
Politico/Morning Consult,12/9 - 12/15,13384 RV,31,22,15,7,8,4,2,3,2,1,0,Biden +9,2019
NPR/PBS/Marist,12/9 - 12/11,704 RV,24,22,17,4,13,5,4,0,1,1,0,Biden +2,2019
FOX News,12/8 - 12/11,453 RV,30,20,13,5,7,3,5,1,3,1,0,Biden +10,2019
IBD/TIPP,12/5 - 12/14,312 RV,26,18,14,5,9,2,2,2,1,1,0,Biden +8,2019
Economist/YouGov,12/7 - 12/10,497 LV,26,16,21,4,11,3,2,1,3,1,0,Biden +5,2019
Quinnipiac,12/4 - 12/9,665 RV,29,17,15,5,9,4,3,1,2,1,0,Biden +12,2019
Monmouth,12/4 - 12/8,384 RV,26,21,17,5,8,3,4,1,0,0,1,Biden +5,2019
Politico/Morning Consult,12/2 - 12/8,15442 RV,30,22,16,6,9,4,2,3,2,1,0,Biden +8,2019
Economist/YouGov,12/1 - 12/3,541 LV,27,13,18,3,12,2,3,0,2,1,1,Biden +9,2019
The Hill/HarrisX,11/30 - 12/1,437 RV,31,15,10,6,9,2,2,2,0,1,1,Biden +16,2019
Politico/Morning Consult,11/25 - 12/1,15773 RV,29,20,15,5,9,4,2,2,2,1,0,Biden +9,2019
Harvard-Harris,11/27 - 11/29,756 RV,29,16,13,7,8,3,2,2,1,--,--,Biden +13,2019
Economist/YouGov,11/24 - 11/26,550 RV,23,15,17,3,12,3,3,1,2,0,1,Biden +6,2019
Quinnipiac,11/21 - 11/25,1355 RV,24,13,14,3,16,2,3,0,1,2,0,Biden +8,2019
CNN,11/21 - 11/24,431 RV,28,17,14,3,11,3,2,3,0,0,0,Biden +11,2019
Politico/Morning Consult,11/21 - 11/24,8102 RV,30,21,15,2,9,4,2,2,2,1,0,Biden +9,2019
SurveyUSA,11/20 - 11/21,1088 LV,30,17,15,3,11,4,2,2,1,--,1,Biden +13,2019
Emerson,11/17 - 11/20,468 RV,27,27,20,1,7,4,1,2,2,0,--,Tie,2019
Economist/YouGov,11/17 - 11/19,586 RV,30,12,22,--,9,2,2,1,3,1,--,Biden +8,2019
The Hill/HarrisX,11/16 - 11/17,449 RV,30,18,15,3,7,2,1,1,1,1,--,Biden +12,2019
Politico/Morning Consult,11/11 - 11/17,17050 RV,32,20,17,3,8,3,2,1,2,1,--,Biden +12,2019
Economist/YouGov,11/10 - 11/12,600 LV,23,17,26,--,9,4,2,1,2,0,--,Warren +3,2019
Politico/Morning Consult,11/4 - 11/10,16400 RV,32,20,19,2,8,3,2,1,1,1,--,Biden +12,2019
